117.41 ; 131.28 ; 318.55 
117.33 ; 131.28 ; 318.55 
117.26 ; 131.28 ; 318.55 
117.19 ; 131.28 ; 318.55 
117.12 ; 131.28 ; 318.55 
117.04 ; 131.28 ; 318.55 
116.97 ; 131.28 ; 318.55 
116.9 ; 131.28 ; 318.55 
116.83 ; 131.28 ; 318.55 
116.75 ; 131.28 ; 318.55 
116.68 ; 131.28 ; 318.55 
116.61 ; 131.28 ; 318.55 
116.54 ; 131.28 ; 318.55 
116.46 ; 131.28 ; 318.55 
116.39 ; 131.28 ; 318.55 
116.32 ; 131.28 ; 318.55 
116.25 ; 131.28 ; 318.55 
116.17 ; 131.28 ; 318.55 
116.1 ; 131.28 ; 318.55 
116.03 ; 131.28 ; 318.55 
115.96 ; 131.28 ; 318.55 
115.88 ; 131.28 ; 318.55 
115.81 ; 131.28 ; 318.55 
115.74 ; 131.28 ; 318.55 
115.67 ; 131.28 ; 318.55 
115.59 ; 131.28 ; 318.55 
115.52 ; 131.28 ; 318.55 
115.45 ; 131.28 ; 318.55 
115.38 ; 131.28 ; 318.55 
115.3 ; 131.28 ; 318.55 
115.23 ; 131.28 ; 318.55 
115.16 ; 131.28 ; 318.55 
115.09 ; 131.28 ; 318.55 
115.01 ; 131.28 ; 318.55 
114.94 ; 131.28 ; 318.55 
114.87 ; 131.28 ; 318.55 
114.8 ; 131.28 ; 318.55 
114.72 ; 131.28 ; 318.55 
114.65 ; 131.28 ; 318.55 
114.58 ; 131.28 ; 318.55 
114.51 ; 131.28 ; 318.55 
114.43 ; 131.28 ; 318.55 
114.36 ; 131.28 ; 318.55 
114.29 ; 131.28 ; 318.55 
114.22 ; 131.28 ; 318.55 
114.14 ; 131.28 ; 318.55 
114.07 ; 131.28 ; 318.55 
114.0 ; 131.28 ; 318.55 
113.93 ; 131.28 ; 318.55 
113.85 ; 131.28 ; 318.55 
113.78 ; 131.28 ; 318.55 
113.71 ; 131.28 ; 318.55 
113.64 ; 131.28 ; 318.55 
113.56 ; 131.28 ; 318.55 
113.49 ; 131.28 ; 318.55 
113.42 ; 131.28 ; 318.55 
